bin_lo,bin_hi,count,avg_predicted_iou,avg_true_iou
0.0,0.1,0,,
0.1,0.2,0,,
0.2,0.30000000000000004,0,,
0.30000000000000004,0.4,1972,0.3529,0.0007
0.4,0.5,2501,0.451,0.001
0.5,0.6000000000000001,2536,0.5505,0.0018
0.6000000000000001,0.7000000000000001,2732,0.6507,0.0021
0.7000000000000001,0.8,3076,0.7517,0.0028
0.8,0.9,4577,0.8547,0.0028
0.9,1.0,4075,0.9363,0.0069
