age_days,scale,CSI,expected_edge_hit_pct
14,1000x,0.0961,99.95
14,2000x,0.0961,99.98
14,5000x,0.0961,99.29
14,10000x,0.0961,99.67
14,30000x,0.0961,69.33
28,1000x,0.0043,98.53
28,2000x,0.0043,98.11
28,5000x,0.0043,98.58
28,10000x,0.0043,98.88
28,30000x,0.0043,77.91
MEAN,,,94.02
