method,iou,dice,precision,recall,lora
Baseline SAM (AMG),0.1255,0.2033,0.1362,0.6338,No
Baseline SAM (Point),0.0866,0.15,0.13,0.25,No
LoRA SAM (AMG),0.12418402546816076,0.19677897869794816,0.13860997385605847,0.584579396083783,Yes
LoRA SAM (Point),0.0903441051574933,0.15843046734456293,0.1164883379958251,0.4750278609233933,Yes
