method,n,iou_mean,iou_std,dice_mean,precision_mean,recall_mean
Raw (no preprocessing),30,0.12934440441428438,0.12249812430973465,0.21026456136521646,0.14074320482049782,0.6451043053548108
CLAHE (clip=2.0),30,0.11451137579256049,0.13931709050249355,0.18346128415752608,0.13620951680753732,0.49538305757551704
CLAHE (clip=4.0),30,0.10488873799108446,0.1159442050411566,0.172976627097166,0.12740711116505307,0.4665370406906899
CLAHE + Denoise,30,0.1185045550371752,0.11762985455190152,0.19471844888145323,0.13927777398120156,0.5952514550178005
