age,scale,shrinkage_index,std_edge_hit_pct,pimp_edge_hit_pct,edge_hit_improvement
14,5000x,0.09611451942740287,100.0,100.0,0.0
28,5000x,0.004335378323108385,96.875,96.875,0.0
14,2000x,0.09611451942740287,100.0,100.0,0.0
28,2000x,0.004335378323108385,75.0,87.5,12.5
