sample,iou,dice,manual_px,auto_px
Sample__11_22_,0.18756948551153163,0.315888018006354,676400,126872
Sample__12_37_,0.10632761679479598,0.19221723326918966,676400,71920
Sample__13_22_,0.13825103489059729,0.24291835571032053,676400,93513
Sample__3_33_,0.051395623891188645,0.09776647861815277,676400,34764
Sample__4_23_,0.08439237137788291,0.1556491425159138,676400,57083
Sample__4_31_,0.1284846244825547,0.22771178569042339,676400,86907
Sample__4_32_,0.04180070963926671,0.08024703621816613,676400,28274
Sample__4_33_,0.05486398580721467,0.10402096676991213,676400,37110
Sample__4_36_,0.04925783560023655,0.09389081297078558,676400,33318
Sample__6_38_,0.09485363690124186,0.17327181223913288,676400,64159
Sample__8_21_,0.042912477823772915,0.08229353610442484,676400,29026
Sample__9_35_,0.2480410999408634,0.3974886723724346,676400,167775
MEAN,0.1023,0.1803,,
STD,0.0645,0.101,,
CI95_halfwidth,0.041,,,
