method,n,iou_mean,iou_std,dice_mean,precision_mean,recall_mean
Baseline SAM (AMG),30,0.12934440441428438,0.12249812430973465,0.21026456136521646,0.14074320482049782,0.6451043053548108
Uniform Points N=36,30,0.06720956193559206,0.07613306408754533,0.11753791662825923,0.12177341745247533,0.25000774773919854
Microscopy-Aware N=36,30,0.07387944673468647,0.09388301882200832,0.12546173574257163,0.12231644373906524,0.22882096243921124
