Metric,14 days,28 days,Change
Total Apparent Porosity (%),5.10,10.97,+115%
True Pore Fraction (%),4.32,7.85,+82%
Micro-crack Fraction (%),0.78,3.11,+298%
Crack Count (mean),5.0,6.2,+24%
Crack Skeleton Density (/Mpx),341,631,+85%
Mean Region Circularity,0.727,0.684,-
