age,AFt,CH,CSH,shrinkage_index,density_factor,risk_score
1d,5.46,5.86,6.17,0.9417177914110431,0.20566666666666666,0.19367995910020452
3d,14.67,10.76,14.92,0.0,0.49733333333333335,0.0
7d,11.96,16.17,19.41,0.2770961145194273,0.647,0.17928118609406946
14d,0.21,21.33,27.47,1.0,0.9156666666666666,0.9156666666666666
21d,0.0,24.57,29.97,1.0,0.999,0.999
28d,0.53,25.83,28.94,1.0,0.9646666666666667,0.9646666666666667
