iou_th,stab_th,avg_masks,avg_iou,std_iou
0.3,0.3,1.0,0.15284811748472305,0.13245329505785416
0.3,0.5,1.0,0.15284811748472305,0.13245329505785416
0.3,0.6,1.0,0.15284811748472305,0.13245329505785416
0.3,0.7,1.0,0.15284811748472305,0.13245329505785416
0.3,0.8,1.0,0.15284811748472305,0.13245329505785416
0.3,0.85,1.0,0.15284811748472305,0.13245329505785416
0.3,0.9,1.0,0.15284811748472305,0.13245329505785416
0.3,0.95,1.0,0.15284811748472305,0.13245329505785416
0.4,0.3,1.0,0.15284811748472305,0.13245329505785416
0.4,0.5,1.0,0.15284811748472305,0.13245329505785416
0.4,0.6,1.0,0.15284811748472305,0.13245329505785416
0.4,0.7,1.0,0.15284811748472305,0.13245329505785416
0.4,0.8,1.0,0.15284811748472305,0.13245329505785416
0.4,0.85,1.0,0.15284811748472305,0.13245329505785416
0.4,0.9,1.0,0.15284811748472305,0.13245329505785416
0.4,0.95,1.0,0.15284811748472305,0.13245329505785416
0.5,0.3,1.0,0.15284811748472305,0.13245329505785416
0.5,0.5,1.0,0.15284811748472305,0.13245329505785416
0.5,0.6,1.0,0.15284811748472305,0.13245329505785416
0.5,0.7,1.0,0.15284811748472305,0.13245329505785416
0.5,0.8,1.0,0.15284811748472305,0.13245329505785416
0.5,0.85,1.0,0.15284811748472305,0.13245329505785416
0.5,0.9,1.0,0.15284811748472305,0.13245329505785416
0.5,0.95,1.0,0.15284811748472305,0.13245329505785416
0.6,0.3,1.0,0.15284811748472305,0.13245329505785416
0.6,0.5,1.0,0.15284811748472305,0.13245329505785416
0.6,0.6,1.0,0.15284811748472305,0.13245329505785416
0.6,0.7,1.0,0.15284811748472305,0.13245329505785416
0.6,0.8,1.0,0.15284811748472305,0.13245329505785416
0.6,0.85,1.0,0.15284811748472305,0.13245329505785416
0.6,0.9,1.0,0.15284811748472305,0.13245329505785416
0.6,0.95,1.0,0.15284811748472305,0.13245329505785416
0.7,0.3,1.0,0.15284811748472305,0.13245329505785416
0.7,0.5,1.0,0.15284811748472305,0.13245329505785416
0.7,0.6,1.0,0.15284811748472305,0.13245329505785416
0.7,0.7,1.0,0.15284811748472305,0.13245329505785416
0.7,0.8,1.0,0.15284811748472305,0.13245329505785416
0.7,0.85,1.0,0.15284811748472305,0.13245329505785416
0.7,0.9,1.0,0.15284811748472305,0.13245329505785416
0.7,0.95,1.0,0.15284811748472305,0.13245329505785416
0.8,0.3,1.0,0.15284811748472305,0.13245329505785416
0.8,0.5,1.0,0.15284811748472305,0.13245329505785416
0.8,0.6,1.0,0.15284811748472305,0.13245329505785416
0.8,0.7,1.0,0.15284811748472305,0.13245329505785416
0.8,0.8,1.0,0.15284811748472305,0.13245329505785416
0.8,0.85,1.0,0.15284811748472305,0.13245329505785416
0.8,0.9,1.0,0.15284811748472305,0.13245329505785416
0.8,0.95,1.0,0.15284811748472305,0.13245329505785416
0.85,0.3,1.0,0.15284811748472305,0.13245329505785416
0.85,0.5,1.0,0.15284811748472305,0.13245329505785416
0.85,0.6,1.0,0.15284811748472305,0.13245329505785416
0.85,0.7,1.0,0.15284811748472305,0.13245329505785416
0.85,0.8,1.0,0.15284811748472305,0.13245329505785416
0.85,0.85,1.0,0.15284811748472305,0.13245329505785416
0.85,0.9,1.0,0.15284811748472305,0.13245329505785416
0.85,0.95,1.0,0.15284811748472305,0.13245329505785416
0.88,0.3,1.0,0.15284811748472305,0.13245329505785416
0.88,0.5,1.0,0.15284811748472305,0.13245329505785416
0.88,0.6,1.0,0.15284811748472305,0.13245329505785416
0.88,0.7,1.0,0.15284811748472305,0.13245329505785416
0.88,0.8,1.0,0.15284811748472305,0.13245329505785416
0.88,0.85,1.0,0.15284811748472305,0.13245329505785416
0.88,0.9,1.0,0.15284811748472305,0.13245329505785416
0.88,0.95,1.0,0.15284811748472305,0.13245329505785416
0.9,0.3,1.0,0.15284811748472305,0.13245329505785416
0.9,0.5,1.0,0.15284811748472305,0.13245329505785416
0.9,0.6,1.0,0.15284811748472305,0.13245329505785416
0.9,0.7,1.0,0.15284811748472305,0.13245329505785416
0.9,0.8,1.0,0.15284811748472305,0.13245329505785416
0.9,0.85,1.0,0.15284811748472305,0.13245329505785416
0.9,0.9,1.0,0.15284811748472305,0.13245329505785416
0.9,0.95,1.0,0.15284811748472305,0.13245329505785416
0.95,0.3,1.0,0.15284811748472305,0.13245329505785416
0.95,0.5,1.0,0.15284811748472305,0.13245329505785416
0.95,0.6,1.0,0.15284811748472305,0.13245329505785416
0.95,0.7,1.0,0.15284811748472305,0.13245329505785416
0.95,0.8,1.0,0.15284811748472305,0.13245329505785416
0.95,0.85,1.0,0.15284811748472305,0.13245329505785416
0.95,0.9,1.0,0.15284811748472305,0.13245329505785416
0.95,0.95,1.0,0.15284811748472305,0.13245329505785416
